"","Treatment","Subject","Task","Time","Choice","Reward","Trial","Day","Ones","AllTrials"
"10441","S",20.2,"0P005_WTL",5819,-1,1,28,1,1,28
"10442","S",20.2,"0P005_WTL",9806,-1,1,28,4,1,128
"10443","S",20.2,"0P005_WTL",14766,1,-1,28,5,1,177
"10444","S",20.2,"0P005_WTR",3727,-1,-1,28,7,1,227
"10445","S",20.4,"0P005_WTL",11621,-1,-1,28,2,1,42
"10446","S",20.4,"0P005_WTL",9105,1,1,28,3,1,120
"10447","S",20.4,"0P005_WTR",8866,-1,-1,28,6,1,196
"10448","S",20.4,"0P005_WTR",5976,-1,1,28,8,1,255
"10449","S",20.4,"0P005_WTR",4183,1,1,28,9,1,348
"10450","S",20.4,"0P005_WTR",7516,1,1,28,10,1,448
"10451","S",21.2,"0P005_WTL",6382,1,1,28,1,1,28
"10452","S",21.2,"0P005_WTL",4069,-1,-1,28,2,1,128
"10453","S",21.2,"0P005_WTL",3915,1,1,28,3,1,168
"10454","S",21.2,"0P005_WTL",3562,1,-1,28,4,1,268
"10455","S",21.2,"0P005_WTL",2672,1,1,28,5,1,368
"10456","S",21.2,"0P005_WTR",2939,-1,-1,28,6,1,468
"10457","S",21.2,"0P005_WTR",2378,1,1,28,7,1,568
"10458","S",21.2,"0P005_WTR",2966,1,1,28,8,1,668
"10459","S",21.2,"0P005_WTR",3275,1,1,28,9,1,768
"10460","S",21.2,"0P005_WTR",2296,1,1,28,10,1,868
"10461","S",21.3,"0P005_WTL",3939,1,1,28,5,1,28
"10462","S",21.4,"0P005_WTL",3809,1,1,28,1,1,28
"10463","S",21.4,"0P005_WTL",5853,1,1,28,2,1,103
"10464","S",21.4,"0P005_WTL",5085,1,1,28,3,1,202
"10465","S",21.4,"0P005_WTL",4644,1,1,28,4,1,302
"10466","S",21.4,"0P005_WTR",2798,-1,-1,28,6,1,402
"10467","S",21.4,"0P005_WTR",2317,1,1,28,7,1,502
"10468","S",21.4,"0P005_WTR",2307,1,1,28,8,1,602
"10469","S",21.4,"0P005_WTR",2149,1,1,28,9,1,702
"10470","S",21.4,"0P005_WTR",1740,1,1,28,10,1,802
"10471","T",22.1,"0P005_WTL",3632,-1,1,28,2,1,34
"10472","T",22.1,"0P005_WTL",4796,1,1,28,4,1,148
"10473","T",22.1,"0P005_WTL",3156,1,1,28,5,1,248
"10474","T",22.1,"0P005_WTR",2809,-1,1,28,6,1,348
